Pasture,Date,Plot,Reading_No,High,Low,Spp,G_B,Screen1,Adj_Low
17S,7/9/2015,5,17,4,1,bogr,g,0,1
17S,7/9/2015,5,18,7,1,bogr,g,0,1
17S,7/9/2015,5,19,5,1,bogr,g,0,1
17S,7/9/2015,5,20,21,2,bogr,g,0,2
17S,7/9/2015,5,21,1,3,bogr,g,0,3
17S,7/9/2015,5,22,13,2,bogr,g,0,2
17S,7/9/2015,5,23,6,1,bogr,g,0,1
17S,7/9/2015,5,24,5,2,bogr,g,0,2
17S,7/9/2015,5,25,6,0,bogr,g,0,0
17S,7/9/2015,6,1,14,2,stco,g,0,2
17S,7/9/2015,6,2,22,1,stco,g,0,1
17S,7/9/2015,6,3,22,2,stco,g,0,2
17S,7/9/2015,6,4,8,2,stco,g,0,2
17S,7/9/2015,6,5,5,1,stco,g,0,1
17S,7/9/2015,6,6,22,3,stco,g,0,3
17S,7/9/2015,6,7,11,2,stco,g,0,2
17S,7/9/2015,6,8,16,0,dung,g,0,
17S,7/9/2015,6,9,22,8,stco,g,0,8
17S,7/9/2015,6,10,17,2,stco,g,0,2
17S,7/9/2015,6,11,14,1,stco,g,0,1
17S,7/9/2015,6,12,24,7,stco,g,0,7
17S,7/9/2015,6,13,10,3,stco,g,0,3
17S,7/9/2015,6,14,21,3,bogr,g,0,3
17S,7/9/2015,6,15,22,2,stco,g,0,2
17S,7/9/2015,6,16,18,4,stco,g,0,4
17S,7/9/2015,6,17,8,1,stco,g,0,1
17S,7/9/2015,6,18,11,1,stco,g,0,1
17S,7/9/2015,6,19,42,12,stco,g,0,12
17S,7/9/2015,6,20,10,2,stco,g,0,2
17S,7/9/2015,6,21,32,5,stco,g,0,5
17S,7/9/2015,6,22,33,4,stco,g,0,4
17S,7/9/2015,6,23,16,1,stco,g,0,1
17S,7/9/2015,6,24,29,11,stco,g,0,11
17S,7/9/2015,6,25,28,7,stco,g,0,7
10S,7/15/2015,1,1,36,5,thfi,g,1,
10S,7/15/2015,1,2,30,5,thfi,g,1,
